start time, request type, latency, response code
1622785692660, POST, 28, 200
1622785692689, POST, 33, 200
1622785692722, POST, 32, 200
1622785692754, POST, 34, 200
1622785692788, POST, 29, 200
1622785692817, POST, 34, 200
1622785692851, POST, 23, 200
1622785692874, POST, 23, 200
1622785692897, POST, 34, 200
1622785692931, POST, 36, 200
1622785692967, POST, 30, 200
1622785692997, POST, 30, 200
1622785693027, POST, 31, 200
1622785693058, POST, 44, 200
1622785693102, POST, 31, 200
1622785693133, POST, 38, 200
1622785693171, POST, 36, 200
1622785693207, POST, 32, 200
1622785693239, POST, 33, 200
1622785693272, POST, 39, 200
1622785693311, POST, 31, 200
1622785693342, POST, 37, 200
1622785693379, POST, 33, 200
1622785693412, POST, 38, 200
1622785693450, POST, 32, 200
1622785693482, POST, 38, 200
1622785693520, POST, 35, 200
1622785693555, POST, 25, 200
1622785693580, POST, 30, 200
1622785687729, POST, 781, 200
1622785688510, POST, 28, 200
1622785688539, POST, 44, 200
